segment file,predicted label,Metric
71hf_0.png,7,0.8711012064468935
71hf_1.png,1,0.9284475961670168
71hf_2.png,h,0.9104275656171694
71hf_3.png,f,0.861864584536417
e86y_0.png,e,0.8313147635539412
e86y_1.png,8,0.7756169931093059
e86y_2.png,6,0.8043267926801966
e86y_3.png,y,0.7247025523681463
5r21_0.png,5,0.769105612521077
5r21_1.png,r,0.9285041893138467
5r21_2.png,2,0.7762031668743693
5r21_3.png,1,0.9328428327662548
5dew_0.png,5,0.7647895130861507
5dew_1.png,d,0.8448800264812903
5dew_2.png,e,0.8310843628773442
5dew_3.png,w,0.7281993010377351
1zcy_0.png,1,0.9365011709544261
1zcy_1.png,z,0.8105728104243086
1zcy_2.png,c,0.8710167179408222
1zcy_3.png,y,0.7291352879633951
qesh_0.png,q,0.8711589109305385
qesh_1.png,e,0.8255513968541838
qesh_2.png,s,0.8182283629201116
qesh_3.png,h,0.9156884178287797
0arl_0.png,0,0.8508832949327262
0arl_1.png,a,0.8170007775738933
0arl_2.png,r,0.927487652940898
0arl_3.png,l,0.9889957315340983
h9dl_0.png,h,0.8966811130385384
h9dl_1.png,9,0.8169164977081158
h9dl_2.png,d,0.8486222186186932
h9dl_3.png,l,0.9918901738708675
65o6_0.png,6,0.7927040314537042
65o6_1.png,5,0.8033858551359521
65o6_2.png,o,0.8359187168293561
65o6_3.png,6,0.8022952844728866
mmg2_0.png,m,0.8680344321387053
mmg2_1.png,m,0.8674466102633718
mmg2_2.png,g,0.7084487669179615
mmg2_3.png,2,0.7888916596882732
ty7o_0.png,t,0.8989113156601714
ty7o_1.png,y,0.736759639224928
ty7o_2.png,7,0.8652342701219663
ty7o_3.png,o,0.8451267357467417
5zin_0.png,5,0.7759691348855636
5zin_1.png,z,0.8605403663095634
5zin_2.png,l,0.741097371941401
5zin_3.png,n,0.9204645464162718
c42e_0.png,c,0.8737757537843449
c42e_1.png,4,0.8385424887465521
c42e_2.png,2,0.790565595393165
c42e_3.png,e,0.8264914040190807
i5e6_0.png,i,0.8294100265535862
i5e6_1.png,5,0.7674292295321077
i5e6_2.png,e,0.833360850945311
i5e6_3.png,6,0.8016408767899647
ohtn_0.png,o,0.8462266668158218
ohtn_1.png,h,0.9077923518997223
ohtn_2.png,t,0.7951062870965375
ohtn_3.png,n,0.8103833073343488
anmd_0.png,a,0.8257599017233673
anmd_1.png,n,0.9181700242118958
anmd_2.png,m,0.8696054225778156
anmd_3.png,d,0.8494197255171669
h4ay_0.png,h,0.8926239381745724
h4ay_1.png,4,0.8423705941202916
h4ay_2.png,a,0.817937962882024
h4ay_3.png,y,0.716463513687613
fato_0.png,f,0.8538623357303042
fato_1.png,a,0.8373241114464164
fato_2.png,t,0.8648830145651109
fato_3.png,o,0.8449712203728927
hzek_0.png,h,0.9083184596667618
hzek_1.png,z,0.8674815303911998
hzek_2.png,e,0.8323605318763886
hzek_3.png,k,0.6938484831615765
3e2k_0.png,3,0.7326993494222075
3e2k_1.png,e,0.8246577447909145
3e2k_2.png,2,0.7837209360877018
3e2k_3.png,k,0.6609245704560781
